dataset: /home/tud/OCUDU/datasets/E005-trial/20260722_1542_E005-trial.jsonl

user 0: 19392 samples, 831 segment(s)
  seg rnti    n      RU0:mean/10%out  RU1:mean/10%out  RU2:mean/10%out  RU3:mean/10%out
  503 0x461d     1   -40.7/ -40.7   -40.8/ -40.8   -40.0/ -40.0   -40.8/ -40.8
  504 0x461e     1   -40.7/ -40.7   -41.2/ -41.2   -38.5/ -38.5   -39.6/ -39.6
  505 0x461f     1   -41.5/ -41.5   -40.7/ -40.7   -39.4/ -39.4   -40.5/ -40.5
  506 0x461d     1   -40.9/ -40.9   -41.1/ -41.1   -40.5/ -40.5   -40.7/ -40.7
  507 0x461e     1   -41.6/ -41.6   -41.9/ -41.9   -40.5/ -40.5   -41.6/ -41.6
  508 0x461f     1   -41.4/ -41.4   -40.8/ -40.8   -40.0/ -40.0   -40.1/ -40.1
  509 0x461e     1   -41.3/ -41.3   -41.8/ -41.8   -41.2/ -41.2   -40.9/ -40.9
  510 0x461f     1   -41.3/ -41.3   -40.2/ -40.2   -40.0/ -40.0   -40.9/ -40.9
  511 0x461e     1   -40.8/ -40.8   -40.5/ -40.5   -41.1/ -41.1   -41.0/ -41.0
  512 0x461f     1   -40.6/ -40.6   -41.2/ -41.2   -40.4/ -40.4   -41.6/ -41.6
  513 0x461e     1   -41.1/ -41.1   -40.4/ -40.4   -40.2/ -40.2   -42.1/ -42.1
  514 0x461f     1   -40.7/ -40.7   -40.3/ -40.3   -40.9/ -40.9   -40.8/ -40.8
  515 0x461e     1   -40.9/ -40.9   -40.2/ -40.2   -39.7/ -39.7   -39.6/ -39.6
  516 0x461f     1   -41.1/ -41.1   -40.9/ -40.9   -40.7/ -40.7   -41.2/ -41.2
  517 0x461e     1   -41.4/ -41.4   -42.2/ -42.2   -40.9/ -40.9   -42.2/ -42.2
  518 0x461f     1   -40.9/ -40.9   -41.2/ -41.2   -39.2/ -39.2   -41.3/ -41.3
  519 0x461e     1   -40.4/ -40.4   -40.3/ -40.3   -40.5/ -40.5   -40.9/ -40.9
  520 0x461f     1   -40.7/ -40.7   -40.2/ -40.2   -41.2/ -41.2   -41.5/ -41.5
  521 0x461e     1   -41.8/ -41.8   -41.1/ -41.1   -40.1/ -40.1   -41.0/ -41.0
  522 0x461f     1   -41.6/ -41.6   -40.3/ -40.3   -39.3/ -39.3   -41.1/ -41.1
  523 0x461e     1   -41.2/ -41.2   -40.9/ -40.9   -38.6/ -38.6   -41.3/ -41.3
  524 0x461f     1   -41.7/ -41.7   -40.7/ -40.7   -38.2/ -38.2   -40.1/ -40.1
  525 0x461e     1   -41.1/ -41.1   -41.2/ -41.2   -40.1/ -40.1   -40.7/ -40.7
  526 0x461f     1   -41.0/ -41.0   -40.1/ -40.1   -41.1/ -41.1   -40.8/ -40.8
  527 0x461e     1   -41.5/ -41.5   -41.3/ -41.3   -40.4/ -40.4   -41.2/ -41.2
  528 0x461f     1   -41.5/ -41.5   -40.5/ -40.5   -40.9/ -40.9   -41.4/ -41.4
  529 0x461e     1   -40.4/ -40.4   -40.9/ -40.9   -41.8/ -41.8   -40.5/ -40.5
  530 0x461f     1   -40.8/ -40.8   -40.8/ -40.8   -39.5/ -39.5   -41.2/ -41.2
  531 0x461e     1   -41.6/ -41.6   -40.4/ -40.4   -40.3/ -40.3   -41.8/ -41.8
  532 0x461f     1   -41.0/ -41.0   -41.5/ -41.5   -40.3/ -40.3   -40.7/ -40.7
  533 0x461e     1   -40.7/ -40.7   -40.4/ -40.4   -40.7/ -40.7   -41.3/ -41.3
  534 0x461f     1   -42.0/ -42.0   -41.2/ -41.2   -38.1/ -38.1   -40.9/ -40.9
  535 0x461e     1   -40.4/ -40.4   -41.2/ -41.2   -40.3/ -40.3   -40.7/ -40.7
  536 0x461f     1   -41.2/ -41.2   -40.9/ -40.9   -40.5/ -40.5   -40.6/ -40.6
  537 0x461e     1   -41.6/ -41.6   -40.8/ -40.8   -40.6/ -40.6   -41.9/ -41.9
  538 0x461f     1   -41.0/ -41.0   -40.9/ -40.9   -39.8/ -39.8   -41.1/ -41.1
  539 0x461e     1   -40.5/ -40.5   -40.4/ -40.4   -41.2/ -41.2   -41.9/ -41.9
  540 0x461f     1   -42.6/ -42.6   -41.3/ -41.3   -41.4/ -41.4   -42.2/ -42.2
  541 0x461e     1   -41.7/ -41.7   -40.6/ -40.6   -40.2/ -40.2   -41.2/ -41.2
  542 0x461f     1   -41.4/ -41.4   -41.7/ -41.7   -39.5/ -39.5   -41.1/ -41.1
  543 0x461e     1   -40.7/ -40.7   -41.6/ -41.6   -40.0/ -40.0   -40.0/ -40.0
  544 0x461f     1   -40.7/ -40.7   -40.7/ -40.7   -39.9/ -39.9   -42.2/ -42.2
  545 0x461e     1   -41.9/ -41.9   -40.3/ -40.3   -39.4/ -39.4   -42.0/ -42.0
  546 0x461f     1   -40.5/ -40.5   -39.6/ -39.6   -40.3/ -40.3   -40.9/ -40.9
  547 0x461e     1   -41.0/ -41.0   -41.2/ -41.2   -39.9/ -39.9   -41.2/ -41.2
  548 0x461f     1   -40.7/ -40.7   -41.2/ -41.2   -40.9/ -40.9   -41.4/ -41.4
  549 0x461e     1   -41.5/ -41.5   -42.0/ -42.0   -40.5/ -40.5   -40.1/ -40.1
  550 0x461f     1   -41.0/ -41.0   -40.8/ -40.8   -41.6/ -41.6   -42.2/ -42.2
  551 0x461e     1   -41.7/ -41.7   -41.1/ -41.1   -41.4/ -41.4   -41.4/ -41.4
  552 0x461f     1   -40.5/ -40.5   -40.5/ -40.5   -41.4/ -41.4   -41.4/ -41.4
  553 0x461e     1   -40.8/ -40.8   -40.6/ -40.6   -41.6/ -41.6   -40.5/ -40.5
  554 0x461f     1   -40.7/ -40.7   -41.4/ -41.4   -39.7/ -39.7   -40.5/ -40.5
  555 0x461e     1   -40.6/ -40.6   -40.8/ -40.8   -41.8/ -41.8   -41.9/ -41.9
  556 0x461f     1   -41.9/ -41.9   -40.6/ -40.6   -40.3/ -40.3   -40.8/ -40.8
  557 0x461e     1   -40.2/ -40.2   -40.5/ -40.5   -41.1/ -41.1   -41.4/ -41.4
  558 0x461f     1   -41.5/ -41.5   -41.6/ -41.6   -37.8/ -37.8   -42.3/ -42.3
  559 0x461e     1   -42.1/ -42.1   -41.2/ -41.2   -40.7/ -40.7   -41.6/ -41.6
  560 0x461f     1   -41.4/ -41.4   -40.9/ -40.9   -39.7/ -39.7   -40.6/ -40.6
  561 0x461e     1   -41.2/ -41.2   -40.4/ -40.4   -39.8/ -39.8   -41.6/ -41.6
  562 0x461f     1   -40.7/ -40.7   -41.6/ -41.6   -40.5/ -40.5   -41.4/ -41.4
  563 0x461e     1   -41.7/ -41.7   -40.9/ -40.9   -40.5/ -40.5   -41.3/ -41.3
  564 0x461f     1   -41.1/ -41.1   -40.8/ -40.8   -40.5/ -40.5   -41.7/ -41.7
  565 0x4620     1   -40.7/ -40.7   -41.6/ -41.6   -41.2/ -41.2   -41.3/ -41.3
  566 0x461e     1   -41.4/ -41.4   -40.1/ -40.1   -39.7/ -39.7   -40.6/ -40.6
  567 0x461f     1   -40.9/ -40.9   -40.8/ -40.8   -40.5/ -40.5   -42.1/ -42.1
  568 0x4620     1   -40.4/ -40.4   -40.2/ -40.2   -41.0/ -41.0   -41.7/ -41.7
  569 0x461e     1   -40.8/ -40.8   -42.3/ -42.3   -39.7/ -39.7   -41.1/ -41.1
  570 0x461f     1   -42.0/ -42.0   -42.8/ -42.8   -40.7/ -40.7   -40.3/ -40.3
  571 0x4620     1   -41.2/ -41.2   -40.2/ -40.2   -40.6/ -40.6   -41.7/ -41.7
  572 0x461e     1   -41.6/ -41.6   -41.0/ -41.0   -40.3/ -40.3   -40.2/ -40.2
  573 0x461f     1   -42.0/ -42.0   -41.2/ -41.2   -40.9/ -40.9   -41.3/ -41.3
  574 0x4620     1   -40.8/ -40.8   -40.3/ -40.3   -41.4/ -41.4   -41.2/ -41.2
  575 0x461e     1   -41.7/ -41.7   -40.6/ -40.6   -39.6/ -39.6   -40.9/ -40.9
  576 0x461f     1   -41.3/ -41.3   -41.2/ -41.2   -41.0/ -41.0   -41.4/ -41.4
  577 0x4620     1   -41.4/ -41.4   -40.5/ -40.5   -40.8/ -40.8   -41.4/ -41.4
  578 0x461e     1   -41.2/ -41.2   -41.1/ -41.1   -41.0/ -41.0   -41.4/ -41.4
  579 0x461f     1   -41.2/ -41.2   -40.9/ -40.9   -41.1/ -41.1   -41.3/ -41.3
  580 0x4620     1   -40.6/ -40.6   -40.4/ -40.4   -40.7/ -40.7   -41.2/ -41.2
  581 0x461e     1   -41.1/ -41.1   -40.8/ -40.8   -40.1/ -40.1   -40.1/ -40.1
  582 0x461f     1   -41.3/ -41.3   -41.2/ -41.2   -40.1/ -40.1   -41.6/ -41.6
  583 0x4620     1   -40.6/ -40.6   -41.0/ -41.0   -39.8/ -39.8   -40.9/ -40.9
  584 0x461e     1   -41.7/ -41.7   -41.4/ -41.4   -38.6/ -38.6   -41.0/ -41.0
  585 0x461f     1   -41.8/ -41.8   -40.7/ -40.7   -40.6/ -40.6   -41.2/ -41.2
  586 0x4620     1   -41.2/ -41.2   -40.7/ -40.7   -40.7/ -40.7   -41.4/ -41.4
  587 0x461e     1   -41.7/ -41.7   -41.2/ -41.2   -41.3/ -41.3   -41.1/ -41.1
  588 0x461f     1   -40.8/ -40.8   -40.5/ -40.5   -41.4/ -41.4   -41.2/ -41.2
  589 0x4620     1   -41.1/ -41.1   -40.4/ -40.4   -40.1/ -40.1   -41.3/ -41.3
  590 0x461e     1   -40.7/ -40.7   -40.7/ -40.7   -39.2/ -39.2   -41.1/ -41.1
  591 0x461f     1   -41.1/ -41.1   -40.9/ -40.9   -39.8/ -39.8   -40.7/ -40.7
  592 0x4620     1   -40.3/ -40.3   -40.9/ -40.9   -40.3/ -40.3   -41.9/ -41.9
  593 0x461e     1   -41.6/ -41.6   -41.6/ -41.6   -40.2/ -40.2   -41.5/ -41.5
  594 0x461f     1   -41.0/ -41.0   -40.7/ -40.7   -40.0/ -40.0   -40.6/ -40.6
  595 0x4620     1   -40.7/ -40.7   -40.5/ -40.5   -39.5/ -39.5   -41.6/ -41.6
  596 0x461e     1   -40.9/ -40.9   -41.5/ -41.5   -40.1/ -40.1   -41.5/ -41.5
  597 0x461f     1   -41.2/ -41.2   -40.1/ -40.1   -40.6/ -40.6   -41.5/ -41.5
  598 0x4620     1   -40.3/ -40.3   -41.0/ -41.0   -41.3/ -41.3   -40.0/ -40.0
  599 0x461e     1   -42.1/ -42.1   -40.7/ -40.7   -38.7/ -38.7   -41.7/ -41.7
  600 0x461f     1   -41.7/ -41.7   -39.9/ -39.9   -40.3/ -40.3   -41.7/ -41.7
  601 0x4620     1   -41.5/ -41.5   -40.8/ -40.8   -40.1/ -40.1   -40.9/ -40.9
  602 0x461e     1   -41.4/ -41.4   -41.4/ -41.4   -41.6/ -41.6   -41.0/ -41.0
  603 0x461f     1   -41.3/ -41.3   -41.5/ -41.5   -40.7/ -40.7   -41.0/ -41.0
  604 0x4620     1   -41.0/ -41.0   -41.1/ -41.1   -41.5/ -41.5   -41.5/ -41.5
  605 0x461e     1   -41.1/ -41.1   -41.1/ -41.1   -39.9/ -39.9   -41.2/ -41.2
  606 0x461f     1   -41.7/ -41.7   -41.1/ -41.1   -40.9/ -40.9   -41.8/ -41.8
  607 0x4620     1   -41.5/ -41.5   -40.2/ -40.2   -40.5/ -40.5   -41.0/ -41.0
  608 0x461e     1   -40.7/ -40.7   -41.2/ -41.2   -40.9/ -40.9   -40.9/ -40.9
  609 0x461f     1   -40.8/ -40.8   -40.5/ -40.5   -40.5/ -40.5   -39.8/ -39.8
  610 0x4620     1   -41.3/ -41.3   -41.2/ -41.2   -41.1/ -41.1   -40.9/ -40.9
  611 0x461e     1   -40.8/ -40.8   -40.3/ -40.3   -39.7/ -39.7   -40.8/ -40.8
  612 0x461f     1   -41.2/ -41.2   -41.3/ -41.3   -39.8/ -39.8   -40.9/ -40.9
  613 0x4620     1   -41.9/ -41.9   -41.0/ -41.0   -40.6/ -40.6   -40.1/ -40.1
  614 0x461e     1   -40.9/ -40.9   -40.7/ -40.7   -40.8/ -40.8   -41.2/ -41.2
  615 0x461f     1   -41.1/ -41.1   -41.3/ -41.3   -40.8/ -40.8   -40.9/ -40.9
  616 0x4620     1   -40.6/ -40.6   -41.9/ -41.9   -40.3/ -40.3   -40.6/ -40.6
  617 0x461e     1   -41.1/ -41.1   -41.1/ -41.1   -40.0/ -40.0   -40.4/ -40.4
  618 0x461f     1   -42.7/ -42.7   -40.8/ -40.8   -40.3/ -40.3   -42.2/ -42.2
  619 0x4620     1   -41.0/ -41.0   -40.8/ -40.8   -40.4/ -40.4   -41.3/ -41.3
  620 0x461f     1   -41.3/ -41.3   -40.0/ -40.0   -39.3/ -39.3   -41.7/ -41.7
  621 0x4620     1   -41.4/ -41.4   -40.2/ -40.2   -40.4/ -40.4   -40.0/ -40.0
  622 0x461f     1   -41.7/ -41.7   -40.6/ -40.6   -38.3/ -38.3   -41.7/ -41.7
  623 0x4620     1   -41.6/ -41.6   -41.0/ -41.0   -40.5/ -40.5   -40.7/ -40.7
  624 0x461f     1   -41.3/ -41.3   -41.4/ -41.4   -41.0/ -41.0   -41.7/ -41.7
  625 0x4620     1   -40.7/ -40.7   -40.8/ -40.8   -40.7/ -40.7   -40.7/ -40.7
  626 0x461f     1   -41.2/ -41.2   -39.9/ -39.9   -36.8/ -36.8   -41.1/ -41.1
  627 0x4620     1   -41.0/ -41.0   -40.5/ -40.5   -40.7/ -40.7   -40.9/ -40.9
  628 0x461f     1   -42.0/ -42.0   -41.1/ -41.1   -40.6/ -40.6   -40.4/ -40.4
  629 0x4620     1   -41.2/ -41.2   -41.0/ -41.0   -40.4/ -40.4   -41.6/ -41.6
  630 0x461f     1   -41.6/ -41.6   -40.6/ -40.6   -40.5/ -40.5   -41.2/ -41.2
  631 0x4620     1   -41.0/ -41.0   -40.9/ -40.9   -40.8/ -40.8   -41.7/ -41.7
  632 0x461f     1   -41.8/ -41.8   -40.7/ -40.7   -40.0/ -40.0   -41.0/ -41.0
  633 0x4620     1   -41.2/ -41.2   -41.7/ -41.7   -41.6/ -41.6   -41.0/ -41.0
  634 0x461f     1   -41.2/ -41.2   -41.7/ -41.7   -40.8/ -40.8   -41.2/ -41.2
  635 0x4620     1   -40.2/ -40.2   -40.8/ -40.8   -40.6/ -40.6   -40.1/ -40.1
  636 0x461f     1   -41.9/ -41.9   -41.0/ -41.0   -40.9/ -40.9   -40.8/ -40.8
  637 0x4620     1   -40.6/ -40.6   -41.3/ -41.3   -41.0/ -41.0   -40.5/ -40.5
  638 0x461f     1   -41.7/ -41.7   -41.2/ -41.2   -42.1/ -42.1   -41.3/ -41.3
  639 0x4620     1   -41.1/ -41.1   -41.0/ -41.0   -40.0/ -40.0   -41.4/ -41.4
  640 0x461f     1   -40.0/ -40.0   -41.0/ -41.0   -40.9/ -40.9   -40.8/ -40.8
  641 0x4620     1   -41.0/ -41.0   -41.8/ -41.8   -40.6/ -40.6   -39.8/ -39.8
  642 0x461f     1   -41.3/ -41.3   -41.1/ -41.1   -40.2/ -40.2   -40.6/ -40.6
  643 0x4620     1   -40.6/ -40.6   -40.8/ -40.8   -39.9/ -39.9   -42.0/ -42.0
  644 0x461f     1   -41.3/ -41.3   -41.3/ -41.3   -41.2/ -41.2   -41.1/ -41.1
  645 0x4620     1   -41.4/ -41.4   -40.6/ -40.6   -41.7/ -41.7   -41.1/ -41.1
  646 0x461f     1   -41.7/ -41.7   -40.6/ -40.6   -40.1/ -40.1   -41.5/ -41.5
  647 0x4620     1   -41.0/ -41.0   -41.6/ -41.6   -40.7/ -40.7   -42.6/ -42.6
  648 0x461f     1   -40.8/ -40.8   -40.3/ -40.3   -39.7/ -39.7   -41.3/ -41.3
  649 0x4620     1   -41.1/ -41.1   -41.3/ -41.3   -40.5/ -40.5   -40.5/ -40.5
  650 0x461f     1   -41.3/ -41.3   -41.6/ -41.6   -38.9/ -38.9   -41.1/ -41.1
  651 0x4620     1   -40.9/ -40.9   -41.5/ -41.5   -40.1/ -40.1   -40.7/ -40.7
  652 0x461f     1   -41.5/ -41.5   -41.4/ -41.4   -39.7/ -39.7   -41.3/ -41.3
  653 0x4620     1   -41.9/ -41.9   -40.3/ -40.3   -40.2/ -40.2   -40.9/ -40.9
  654 0x461f     1   -40.5/ -40.5   -41.8/ -41.8   -39.6/ -39.6   -41.3/ -41.3
  655 0x4620     1   -41.6/ -41.6   -41.2/ -41.2   -40.5/ -40.5   -41.4/ -41.4
  656 0x461f     1   -41.5/ -41.5   -41.1/ -41.1   -39.7/ -39.7   -41.1/ -41.1
  657 0x4620     1   -41.2/ -41.2   -41.4/ -41.4   -40.7/ -40.7   -40.6/ -40.6
  658 0x461f     1   -41.6/ -41.6   -41.3/ -41.3   -40.4/ -40.4   -41.2/ -41.2
  659 0x4620     1   -41.1/ -41.1   -40.5/ -40.5   -39.8/ -39.8   -40.9/ -40.9
  660 0x461f     1   -41.3/ -41.3   -41.7/ -41.7   -39.9/ -39.9   -41.2/ -41.2
  661 0x4620     1   -39.9/ -39.9   -41.6/ -41.6   -41.6/ -41.6   -41.2/ -41.2
  662 0x4621     1   -41.3/ -41.3   -40.6/ -40.6   -41.2/ -41.2   -40.2/ -40.2
  663 0x461f     1   -41.1/ -41.1   -40.9/ -40.9   -37.8/ -37.8   -41.0/ -41.0
  664 0x4620     1   -41.7/ -41.7   -40.3/ -40.3   -39.8/ -39.8   -40.9/ -40.9
  665 0x4621     1   -40.7/ -40.7   -41.0/ -41.0   -40.0/ -40.0   -40.8/ -40.8
  666 0x461f     1   -41.1/ -41.1   -41.8/ -41.8   -40.1/ -40.1   -41.3/ -41.3
  667 0x4620     1   -40.6/ -40.6   -41.0/ -41.0   -41.1/ -41.1   -41.2/ -41.2
  668 0x4621     1   -41.6/ -41.6   -40.5/ -40.5   -40.1/ -40.1   -41.6/ -41.6
  669 0x461f     1   -40.6/ -40.6   -41.0/ -41.0   -39.9/ -39.9   -41.6/ -41.6
  670 0x4620     1   -41.2/ -41.2   -41.8/ -41.8   -41.1/ -41.1   -41.0/ -41.0
  671 0x4621     1   -41.5/ -41.5   -40.5/ -40.5   -40.3/ -40.3   -41.0/ -41.0
  672 0x461f     1   -40.7/ -40.7   -41.7/ -41.7   -40.1/ -40.1   -41.5/ -41.5
  673 0x4620     1   -41.2/ -41.2   -40.9/ -40.9   -40.7/ -40.7   -40.9/ -40.9
  674 0x4621     1   -42.2/ -42.2   -40.8/ -40.8   -40.1/ -40.1   -41.1/ -41.1
  675 0x461f     1   -41.1/ -41.1   -40.5/ -40.5   -39.9/ -39.9   -40.2/ -40.2
  676 0x4620     1   -40.7/ -40.7   -40.6/ -40.6   -40.2/ -40.2   -41.3/ -41.3
  677 0x4621     1   -41.3/ -41.3   -40.8/ -40.8   -40.0/ -40.0   -41.6/ -41.6
  678 0x461f     1   -40.8/ -40.8   -41.9/ -41.9   -41.3/ -41.3   -41.2/ -41.2
  679 0x4620     1   -41.2/ -41.2   -40.5/ -40.5   -40.6/ -40.6   -40.6/ -40.6
  680 0x4621     1   -41.5/ -41.5   -40.1/ -40.1   -40.4/ -40.4   -41.2/ -41.2
  681 0x461f     1   -41.4/ -41.4   -41.1/ -41.1   -38.8/ -38.8   -40.6/ -40.6
  682 0x4620     1   -41.2/ -41.2   -41.9/ -41.9   -40.5/ -40.5   -40.9/ -40.9
  683 0x4621     1   -40.8/ -40.8   -41.6/ -41.6   -40.2/ -40.2   -41.6/ -41.6
  684 0x461f     1   -40.5/ -40.5   -41.3/ -41.3   -41.2/ -41.2   -41.5/ -41.5
  685 0x4620     1   -40.6/ -40.6   -40.5/ -40.5   -40.7/ -40.7   -40.7/ -40.7
  686 0x4621     1   -42.3/ -42.3   -41.6/ -41.6   -40.8/ -40.8   -41.1/ -41.1
  687 0x461f     1   -41.1/ -41.1   -41.3/ -41.3   -39.6/ -39.6   -41.5/ -41.5
  688 0x4620     1   -41.3/ -41.3   -40.7/ -40.7   -40.6/ -40.6   -41.7/ -41.7
  689 0x4621     1   -40.9/ -40.9   -41.4/ -41.4   -39.8/ -39.8   -41.0/ -41.0
  690 0x461f     1   -41.2/ -41.2   -41.2/ -41.2   -41.6/ -41.6   -40.5/ -40.5
  691 0x4620     1   -41.4/ -41.4   -41.4/ -41.4   -41.5/ -41.5   -41.8/ -41.8
  692 0x4621     1   -41.1/ -41.1   -40.8/ -40.8   -41.4/ -41.4   -40.4/ -40.4
  693 0x461f     1   -41.4/ -41.4   -40.5/ -40.5   -39.6/ -39.6   -40.0/ -40.0
  694 0x4620     1   -41.7/ -41.7   -41.6/ -41.6   -41.1/ -41.1   -41.0/ -41.0
  695 0x4621     1   -40.5/ -40.5   -40.3/ -40.3   -40.4/ -40.4   -41.7/ -41.7
  696 0x461f     1   -40.3/ -40.3   -41.1/ -41.1   -39.8/ -39.8   -40.8/ -40.8
  697 0x4620     1   -41.3/ -41.3   -40.5/ -40.5   -41.7/ -41.7   -40.5/ -40.5
  698 0x4621     1   -41.1/ -41.1   -41.8/ -41.8   -39.7/ -39.7   -41.3/ -41.3
  699 0x461f     1   -41.8/ -41.8   -41.0/ -41.0   -41.2/ -41.2   -41.9/ -41.9
  700 0x4620     1   -41.6/ -41.6   -40.7/ -40.7   -40.2/ -40.2   -42.6/ -42.6
  701 0x4621     1   -40.0/ -40.0   -40.9/ -40.9   -40.7/ -40.7   -40.5/ -40.5
  702 0x461f     1   -40.5/ -40.5   -41.1/ -41.1   -40.7/ -40.7   -42.3/ -42.3
  703 0x4620     1   -40.8/ -40.8   -39.5/ -39.5   -40.9/ -40.9   -41.1/ -41.1
  704 0x4621     1   -40.9/ -40.9   -41.3/ -41.3   -40.1/ -40.1   -41.2/ -41.2
  705 0x461f     1   -41.4/ -41.4   -40.7/ -40.7   -39.3/ -39.3   -40.7/ -40.7
  706 0x4620     1   -41.3/ -41.3   -41.7/ -41.7   -40.9/ -40.9   -41.3/ -41.3
  707 0x4621     1   -40.6/ -40.6   -41.0/ -41.0   -39.9/ -39.9   -41.6/ -41.6
  708 0x461f     1   -41.0/ -41.0   -41.0/ -41.0   -40.6/ -40.6   -42.0/ -42.0
  709 0x4620     1   -41.0/ -41.0   -40.7/ -40.7   -41.2/ -41.2   -41.5/ -41.5
  710 0x4621     1   -41.4/ -41.4   -40.8/ -40.8   -39.8/ -39.8   -41.5/ -41.5
  711 0x461f     1   -41.6/ -41.6   -41.4/ -41.4   -40.1/ -40.1   -40.8/ -40.8
  712 0x4620     1   -42.3/ -42.3   -40.7/ -40.7   -41.0/ -41.0   -41.4/ -41.4
  713 0x4621     1   -39.9/ -39.9   -40.7/ -40.7   -39.9/ -39.9   -40.6/ -40.6
  714 0x461f     1   -41.3/ -41.3   -41.0/ -41.0   -40.5/ -40.5   -41.1/ -41.1
  715 0x4620     1   -41.7/ -41.7   -40.7/ -40.7   -40.7/ -40.7   -41.0/ -41.0
  716 0x4621     1   -37.3/ -37.3   -37.5/ -37.5   -36.9/ -36.9   -37.8/ -37.8
  717 0x461f     1   -41.0/ -41.0   -41.7/ -41.7   -39.7/ -39.7   -41.0/ -41.0
  718 0x4620     1   -41.4/ -41.4   -41.3/ -41.3   -40.8/ -40.8   -40.7/ -40.7
  719 0x4621     1   -37.2/ -37.2   -38.0/ -38.0   -37.6/ -37.6   -37.9/ -37.9
  720 0x461f     1   -41.5/ -41.5   -42.0/ -42.0   -40.8/ -40.8   -40.5/ -40.5
  721 0x4620     1   -41.2/ -41.2   -41.1/ -41.1   -39.9/ -39.9   -40.4/ -40.4
  722 0x4621     1   -37.7/ -37.7   -37.1/ -37.1   -36.8/ -36.8   -38.0/ -38.0
  723 0x461f     1   -41.7/ -41.7   -40.9/ -40.9   -40.7/ -40.7   -41.2/ -41.2
  724 0x4620     1   -40.9/ -40.9   -40.9/ -40.9   -41.4/ -41.4   -41.1/ -41.1
  725 0x4621     1   -37.2/ -37.2   -38.5/ -38.5   -36.6/ -36.6   -37.9/ -37.9
  726 0x461f     1   -41.6/ -41.6   -41.7/ -41.7   -40.7/ -40.7   -41.0/ -41.0
  727 0x4620     1   -41.6/ -41.6   -41.1/ -41.1   -41.0/ -41.0   -41.0/ -41.0
  728 0x4621     1   -37.2/ -37.2   -36.6/ -36.6   -36.5/ -36.5   -38.2/ -38.2
  729 0x461f     1   -41.7/ -41.7   -41.1/ -41.1   -40.7/ -40.7   -41.7/ -41.7
  730 0x4620     1   -41.3/ -41.3   -40.8/ -40.8   -40.6/ -40.6   -41.2/ -41.2
  731 0x4621     1   -37.3/ -37.3   -38.2/ -38.2   -36.6/ -36.6   -38.0/ -38.0
  732 0x461f     1   -40.2/ -40.2   -40.0/ -40.0   -39.4/ -39.4   -40.4/ -40.4
  733 0x4620     1   -40.7/ -40.7   -40.9/ -40.9   -40.3/ -40.3   -42.1/ -42.1
  734 0x4621     1   -37.8/ -37.8   -37.9/ -37.9   -37.1/ -37.1   -37.7/ -37.7
  735 0x461f     1   -40.8/ -40.8   -41.1/ -41.1   -40.4/ -40.4   -40.6/ -40.6
  736 0x4620     1   -40.7/ -40.7   -40.4/ -40.4   -40.7/ -40.7   -39.9/ -39.9
  737 0x4621     1   -36.6/ -36.6   -36.6/ -36.6   -37.4/ -37.4   -37.3/ -37.3
  738 0x461f     1   -40.5/ -40.5   -40.6/ -40.6   -41.5/ -41.5   -41.4/ -41.4
  739 0x4620     1   -40.8/ -40.8   -40.9/ -40.9   -40.7/ -40.7   -41.0/ -41.0
  740 0x4621     1   -36.1/ -36.1   -37.2/ -37.2   -36.3/ -36.3   -38.2/ -38.2
  741 0x461f     1   -42.1/ -42.1   -40.7/ -40.7   -41.0/ -41.0   -42.0/ -42.0
  742 0x4620     1   -42.1/ -42.1   -40.1/ -40.1   -40.5/ -40.5   -41.2/ -41.2
  743 0x4621     1   -37.6/ -37.6   -37.0/ -37.0   -37.2/ -37.2   -38.6/ -38.6
  744 0x4620     1   -42.1/ -42.1   -42.0/ -42.0   -40.8/ -40.8   -40.9/ -40.9
  745 0x4621     1   -37.9/ -37.9   -37.7/ -37.7   -35.5/ -35.5   -37.7/ -37.7
  746 0x4620     1   -41.4/ -41.4   -40.8/ -40.8   -40.4/ -40.4   -41.6/ -41.6
  747 0x4621     1   -36.8/ -36.8   -37.2/ -37.2   -36.3/ -36.3   -37.5/ -37.5
  748 0x4620     1   -40.5/ -40.5   -40.5/ -40.5   -40.9/ -40.9   -42.0/ -42.0
  749 0x4621     1   -37.3/ -37.3   -36.9/ -36.9   -35.4/ -35.4   -37.4/ -37.4
  750 0x4620     1   -41.3/ -41.3   -41.1/ -41.1   -40.8/ -40.8   -41.1/ -41.1
  751 0x4621     1   -36.5/ -36.5   -36.0/ -36.0   -35.4/ -35.4   -35.5/ -35.5
  752 0x4620     1   -40.5/ -40.5   -41.3/ -41.3   -39.8/ -39.8   -41.2/ -41.2
  753 0x4621     1   -37.1/ -37.1   -36.8/ -36.8   -37.3/ -37.3   -37.9/ -37.9
  754 0x4620     1   -41.4/ -41.4   -41.5/ -41.5   -41.1/ -41.1   -40.2/ -40.2
  755 0x4621     1   -37.5/ -37.5   -37.6/ -37.6   -38.9/ -38.9   -36.7/ -36.7
  756 0x4620     1   -40.7/ -40.7   -41.1/ -41.1   -40.5/ -40.5   -41.0/ -41.0
  757 0x4621     1   -37.9/ -37.9   -37.9/ -37.9   -36.1/ -36.1   -36.7/ -36.7
  758 0x4620     1   -40.7/ -40.7   -41.1/ -41.1   -39.4/ -39.4   -39.8/ -39.8
  759 0x4621     1   -36.2/ -36.2   -36.2/ -36.2   -36.2/ -36.2   -37.4/ -37.4
